region,ir_video_path,mask_video_path,env_info_path,prompt_ir,prompt_mask
Region A,./Region A/Infrared Videos/video_051.mp4,./Region A/Fire Mask Videos/video_051.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_045.mp4,./Region A/Fire Mask Videos/video_045.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_044.mp4,./Region A/Fire Mask Videos/video_044.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_050.mp4,./Region A/Fire Mask Videos/video_050.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_046.mp4,./Region A/Fire Mask Videos/video_046.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_052.mp4,./Region A/Fire Mask Videos/video_052.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_053.mp4,./Region A/Fire Mask Videos/video_053.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_047.mp4,./Region A/Fire Mask Videos/video_047.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_043.mp4,./Region A/Fire Mask Videos/video_043.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_057.mp4,./Region A/Fire Mask Videos/video_057.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_056.mp4,./Region A/Fire Mask Videos/video_056.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_042.mp4,./Region A/Fire Mask Videos/video_042.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_054.mp4,./Region A/Fire Mask Videos/video_054.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_040.mp4,./Region A/Fire Mask Videos/video_040.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_068.mp4,./Region A/Fire Mask Videos/video_068.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_069.mp4,./Region A/Fire Mask Videos/video_069.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_041.mp4,./Region A/Fire Mask Videos/video_041.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_055.mp4,./Region A/Fire Mask Videos/video_055.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_032.mp4,./Region A/Fire Mask Videos/video_032.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_026.mp4,./Region A/Fire Mask Videos/video_026.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_027.mp4,./Region A/Fire Mask Videos/video_027.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_033.mp4,./Region A/Fire Mask Videos/video_033.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_019.mp4,./Region A/Fire Mask Videos/video_019.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_025.mp4,./Region A/Fire Mask Videos/video_025.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_031.mp4,./Region A/Fire Mask Videos/video_031.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_030.mp4,./Region A/Fire Mask Videos/video_030.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_024.mp4,./Region A/Fire Mask Videos/video_024.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_018.mp4,./Region A/Fire Mask Videos/video_018.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_020.mp4,./Region A/Fire Mask Videos/video_020.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_034.mp4,./Region A/Fire Mask Videos/video_034.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_008.mp4,./Region A/Fire Mask Videos/video_008.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
